entry_index,exit_index,entry_price,exit_price,pnl,reason
2024-05-28,2024-05-31,1.07,1.05,18.691588785046747,Take-profit hit
2024-06-04,2024-06-11,0.9407,0.9414,0.744126714149074,Stop-loss hit
2024-07-03,2024-07-05,0.9721,1.0,-28.700750951548237,Stop-loss hit
2024-07-10,2024-07-11,1.02,1.05,-29.41176470588238,Stop-loss hit
2024-07-18,2024-07-23,0.9677,1.03,64.37945644311256,Take-profit hit
2024-07-31,2024-08-02,1.08,0.9323,136.7592592592593,Stop-loss hit
2024-08-02,2024-08-05,0.9323,0.8758,-60.60281025421001,Stop-loss hit
2024-08-15,2024-08-16,0.9172,1.02,-112.08024422154382,Stop-loss hit
2024-09-03,2024-09-04,0.9277,0.9287,1.0779346771585652,Stop-loss hit
2024-09-06,2024-09-11,0.9283,0.9663,40.93504255089953,Take-profit hit
2024-09-12,2024-09-13,1.03,1.03,0.0,Stop-loss hit
2024-09-19,2024-09-20,1.05,1.09,-38.09523809523812,Stop-loss hit
2024-10-10,2024-10-11,1.2,1.2,0.0,Stop-loss hit
2024-10-31,2024-11-01,1.31,1.26,-38.16793893129774,Stop-loss hit
2024-11-11,2024-11-15,1.09,1.04,-45.871559633027566,Stop-loss hit
2024-11-15,2024-11-18,1.04,1.12,76.92307692307699,Take-profit hit
2024-11-22,2024-11-25,1.14,1.1,35.08771929824545,Take-profit hit
2024-12-02,2024-12-05,1.04,1.08,38.461538461538495,Take-profit hit
2024-12-06,2024-12-10,1.04,1.13,86.5384615384614,Stop-loss hit
2024-12-16,2024-12-17,1.02,0.9811,-38.13725490196083,Stop-loss hit
2024-12-27,2025-01-07,0.8752,0.91,39.76234003656313,Take-profit hit
2025-01-15,2025-01-16,1.03,1.12,-87.3786407766991,Stop-loss hit
2025-01-24,2025-01-27,1.15,1.11,34.782608695652016,Take-profit hit
2025-01-29,2025-01-30,1.17,1.24,-59.82905982905989,Stop-loss hit
