,entry_index,exit_index,entry_price,exit_price,pnl,reason
121,2021-12-10,2021-12-14,3.22,3.09,-40.372670807453524,Stop-loss hit
122,2021-12-20,2021-12-21,3.78,3.86,-21.164021164021182,Stop-loss hit
123,2022-01-06,2022-01-07,3.55,3.58,8.450704225352183,Stop-loss hit
124,2022-01-19,2022-01-21,3.98,3.68,75.3768844221105,Take-profit hit
125,2022-01-24,2022-01-26,3.5,3.45,-14.285714285714235,Stop-loss hit
126,2022-01-26,2022-01-27,3.45,3.28,-49.27536231884069,Stop-loss hit
127,2022-02-04,2022-02-10,3.23,3.34,34.05572755417953,Take-profit hit
128,2022-02-11,2022-02-14,3.59,3.67,-22.284122562674117,Stop-loss hit
129,2022-03-01,2022-03-02,4.05,3.99,14.814814814814719,Stop-loss hit
130,2022-03-14,2022-03-15,3.97,4.11,35.26448362720406,Take-profit hit
131,2022-03-24,2022-03-25,3.9,3.82,-20.512820512820532,Stop-loss hit
132,2022-04-08,2022-04-11,4.08,4.09,-2.4509803921568105,Stop-loss hit
133,2022-04-22,2022-04-25,3.79,3.63,-42.21635883905017,Stop-loss hit
134,2022-05-05,2022-05-09,3.33,3.0,-99.09909909909912,Stop-loss hit
135,2022-05-19,2022-05-20,3.41,3.38,8.797653958944354,Stop-loss hit
136,2022-06-06,2022-06-07,3.47,3.51,-11.527377521613715,Stop-loss hit
137,2022-06-10,2022-06-13,3.65,3.21,120.54794520547944,Stop-loss hit
138,2022-06-13,2022-06-14,3.21,3.07,-43.613707165109076,Stop-loss hit
139,2022-06-17,2022-06-21,3.08,3.24,51.94805194805199,Take-profit hit
140,2022-06-23,2022-06-24,2.98,3.15,57.04697986577179,Take-profit hit
141,2022-06-28,2022-06-29,3.03,2.97,-19.801980198019674,Stop-loss hit
142,2022-07-11,2022-07-13,2.62,2.7,30.534351145038194,Take-profit hit
143,2022-07-22,2022-07-25,2.54,2.47,-27.559055118110173,Stop-loss hit
144,2022-07-28,2022-07-29,2.77,2.85,-28.880866425992807,Stop-loss hit
145,2022-08-04,2022-08-11,2.86,2.63,80.41958041958041,Stop-loss hit
146,2022-08-11,2022-08-17,2.63,2.54,-34.22053231939159,Stop-loss hit
147,2022-08-17,2022-08-19,2.54,2.44,-39.37007874015752,Stop-loss hit
148,2022-08-26,2022-08-30,2.41,2.31,-41.493775933609996,Stop-loss hit
149,2022-09-06,2022-09-07,2.23,2.35,53.81165919282516,Take-profit hit
150,2022-09-12,2022-09-14,2.6,2.41,73.07692307692305,Take-profit hit
